time,Outdoor AQI,Dining Hall D2 AQI,Campus Center AQI,Hazardous,Very Unheathy,Unhealthy,Unhealthy for Sensitive Groups,Moderate,Good
2023-10-03 23:00,147,48,60,0,300,200,150,100,50
2023-10-04 00:00,151,51,64,0,300,200,150,100,50
2023-10-04 01:00,151,51,65,0,300,200,150,100,50
2023-10-04 02:00,153,51,65,0,300,200,150,100,50
2023-10-04 03:00,149,48,64,0,300,200,150,100,50
2023-10-04 04:00,152,49,63,0,300,200,150,100,50
2023-10-04 05:00,152,48,63,0,300,200,150,100,50
2023-10-04 06:00,151,50,56,0,300,200,150,100,50
2023-10-04 07:00,153,55,53,0,300,200,150,100,50
2023-10-04 08:00,153,53,53,0,300,200,150,100,50
2023-10-04 09:00,151,59,58,0,300,200,150,100,50
2023-10-04 10:00,139,61,59,0,300,200,150,100,50
2023-10-04 11:00,118,75,62,0,300,200,150,100,50
2023-10-04 12:00,148,82,67,0,300,200,150,100,50
2023-10-04 13:00,149,84,65,0,300,200,150,100,50
2023-10-04 14:00,152,80,73,0,300,200,150,100,50
2023-10-04 15:00,156,73,69,0,300,200,150,100,50
